日期,时间,经度方向,经度,纬度方向,纬度,海拔,速率,航向,卫星数量
2017年5月10日,9时37分14秒,E,11141.673,N,4047.755,1055米,33.34公里／小时,航向:338.6,10颗
2017年5月10日,9时37分15秒,E,11141.670,N,4047.760,1056米,35.19公里／小时,航向:338.8,09颗
2017年5月10日,9时37分16秒,E,11141.668,N,4047.765,1056米,37.04公里／小时,航向:338.1,10颗
2017年5月10日,9时37分17秒,E,11141.665,N,4047.770,1056米,37.04公里／小时,航向:338.9,09颗
2017年5月10日,9时37分18秒,E,11141.663,N,4047.776,1056米,37.04公里／小时,航向:340.1,09颗
2017年5月10日,9时37分19秒,E,11141.660,N,4047.781,1057米,37.04公里／小时,航向:341.3,09颗
2017年5月10日,9时37分20秒,E,11141.658,N,4047.787,1057米,38.89公里／小时,航向:342.9,10颗
2017年5月10日,9时37分21秒,E,11141.656,N,4047.793,1057米,40.74公里／小时,航向:344.0,10颗
2017年5月10日,9时37分22秒,E,11141.653,N,4047.800,1058米,42.60公里／小时,航向:343.0,10颗
2017年5月10日,9时37分23秒,E,11141.650,N,4047.806,1059米,42.60公里／小时,航向:343.2,10颗
2017年5月10日,9时37分24秒,E,11141.648,N,4047.813,1059米,42.60公里／小时,航向:343.9,09颗
2017年5月10日,9时37分25秒,E,11141.646,N,4047.818,1060米,37.04公里／小时,航向:345.0,10颗
2017年5月10日,9时37分26秒,E,11141.645,N,4047.823,1060米,27.78公里／小时,航向:346.2,09颗
2017年5月10日,9时37分27秒,E,11141.644,N,4047.827,1060米,22.22公里／小时,航向:346.7,10颗
2017年5月10日,9时37分28秒,E,11141.642,N,4047.830,1060米,18.52公里／小时,航向:345.8,10颗
2017年5月10日,9时37分29秒,E,11141.641,N,4047.832,1060米,14.82公里／小时,航向:344.2,10颗
2017年5月10日,9时37分30秒,E,11141.640,N,4047.834,1060米,11.11公里／小时,航向:342.0,10颗
2017年5月10日,9时37分31秒,E,11141.639,N,4047.836,1061米,11.11公里／小时,航向:339.9,09颗
2017年5月10日,9时37分32秒,E,11141.638,N,4047.838,1061米,14.82公里／小时,航向:337.9,10颗
2017年5月10日,9时37分33秒,E,11141.637,N,4047.840,1061米,20.37公里／小时,航向:337.2,09颗
2017年5月10日,9时37分34秒,E,11141.635,N,4047.844,1061米,25.93公里／小时,航向:337.4,10颗
2017年5月10日,9时37分35秒,E,11141.633,N,4047.848,1061米,27.78公里／小时,航向:338.2,09颗
2017年5月10日,9时37分36秒,E,11141.630,N,4047.853,1061米,31.48公里／小时,航向:339.2,09颗
2017年5月10日,9时37分37秒,E,11141.628,N,4047.857,1061米,33.34公里／小时,航向:339.8,09颗
2017年5月10日,9时37分38秒,E,11141.626,N,4047.862,1061米,33.34公里／小时,航向:340.5,09颗
2017年5月10日,9时37分39秒,E,11141.623,N,4047.867,1061米,35.19公里／小时,航向:341.4,09颗
2017年5月10日,9时37分40秒,E,11141.621,N,4047.873,1062米,33.34公里／小时,航向:342.5,09颗
2017年5月10日,9时37分41秒,E,11141.619,N,4047.878,1062米,33.34公里／小时,航向:343.4,09颗
2017年5月10日,9时37分42秒,E,11141.617,N,4047.883,1062米,35.19公里／小时,航向:343.7,10颗
2017年5月10日,9时37分43秒,E,11141.615,N,4047.889,1062米,35.19公里／小时,航向:343.1,10颗
2017年5月10日,9时37分44秒,E,11141.612,N,4047.894,1062米,35.19公里／小时,航向:341.8,10颗
2017年5月10日,9时37分45秒,E,11141.610,N,4047.899,1062米,35.19公里／小时,航向:340.4,09颗
2017年5月10日,9时37分46秒,E,11141.607,N,4047.904,1062米,33.34公里／小时,航向:339.8,10颗
2017年5月10日,9时37分47秒,E,11141.605,N,4047.909,1062米,35.19公里／小时,航向:339.3,10颗
2017年5月10日,9时37分48秒,E,11141.603,N,4047.914,1062米,31.48公里／小时,航向:339.9,10颗
2017年5月10日,9时37分49秒,E,11141.601,N,4047.919,1062米,29.63公里／小时,航向:340.6,10颗
2017年5月10日,9时37分50秒,E,11141.599,N,4047.923,1063米,27.78公里／小时,航向:340.9,10颗
2017年5月10日,9时37分51秒,E,11141.597,N,4047.927,1063米,25.93公里／小时,航向:340.9,10颗
2017年5月10日,9时37分52秒,E,11141.594,N,4047.930,1064米,24.08公里／小时,航向:340.4,09颗
2017年5月10日,9时37分53秒,E,11141.593,N,4047.934,1064米,22.22公里／小时,航向:339.6,09颗
2017年5月10日,9时37分54秒,E,11141.591,N,4047.937,1064米,20.37公里／小时,航向:339.0,09颗
2017年5月10日,9时37分55秒,E,11141.590,N,4047.939,1064米,16.67公里／小时,航向:338.7,09颗
2017年5月10日,9时37分56秒,E,11141.589,N,4047.942,1063米,16.67公里／小时,航向:338.4,09颗
2017年5月10日,9时37分57秒,E,11141.587,N,4047.945,1063米,18.52公里／小时,航向:344.7,09颗
2017年5月10日,9时37分58秒,E,11141.587,N,4047.947,1063米,18.52公里／小时,航向:344.9,10颗
2017年5月10日,9时37分59秒,E,11141.586,N,4047.950,1063米,14.82公里／小时,航向:347.4,10颗
2017年5月10日,9时38分0秒,E,11141.586,N,4047.952,1062米,12.96公里／小时,航向:354.1,10颗
2017年5月10日,9时38分1秒,E,11141.585,N,4047.955,1062米,14.82公里／小时,航向:353.3,10颗
2017年5月10日,9时38分2秒,E,11141.584,N,4047.957,1062米,16.67公里／小时,航向:352.4,10颗
2017年5月10日,9时38分3秒,E,11141.583,N,4047.959,1062米,14.82公里／小时,航向:351.4,10颗
2017年5月10日,9时38分4秒,E,11141.582,N,4047.961,1062米,11.11公里／小时,航向:350.5,10颗
2017年5月10日,9时38分5秒,E,11141.582,N,4047.963,1062米,7.41公里／小时,航向:349.3,10颗
2017年5月10日,9时38分6秒,E,11141.581,N,4047.964,1062米,5.56公里／小时,航向:345.4,10颗
2017年5月10日,9时38分7秒,E,11141.582,N,4047.964,1063米,3.70公里／小时,航向:345.4,10颗
2017年5月10日,9时38分8秒,E,11141.581,N,4047.965,1063米,0.00公里／小时,航向:345.4,10颗
2017年5月10日,9时38分9秒,E,11141.581,N,4047.965,1063米,0.00公里／小时,航向:345.4,10颗
2017年5月10日,9时38分10秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,10颗
2017年5月10日,9时38分11秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,10颗
2017年5月10日,9时38分12秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分13秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分14秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分15秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分16秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分17秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分18秒,E,11141.580,N,4047.966,1064米,0.00公里／小时,航向:345.4,09颗
2017年5月10日,9时38分19秒,E,11141.580,N,4047.967,1064米,1.85公里／小时,航向:345.4,09颗
2017年5月10日,9时38分20秒,E,11141.579,N,4047.967,1064米,3.70公里／小时,航向:345.4,09颗
2017年5月10日,9时38分21秒,E,11141.579,N,4047.969,1064米,3.70公里／小时,航向:337.4,10颗
2017年5月10日,9时38分22秒,E,11141.579,N,4047.970,1064米,3.70公里／小时,航向:340.6,10颗
2017年5月10日,9时38分23秒,E,11141.578,N,4047.970,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分24秒,E,11141.578,N,4047.970,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分25秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分26秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分27秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分28秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分29秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分30秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分31秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分32秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分33秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分34秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分35秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分36秒,E,11141.578,N,4047.971,1064米,0.00公里／小时,航向:341.4,10颗
2017年5月10日,9时38分37秒,E,11141.578,N,4047.972,1064米,1.85公里／小时,航向:335.6,10颗
2017年5月10日,9时38分38秒,E,11141.578,N,4047.972,1064米,1.85公里／小时,航向:338.4,10颗
2017年5月10日,9时38分39秒,E,11141.578,N,4047.973,1064米,1.85公里／小时,航向:345.1,10颗
2017年5月10日,9时38分40秒,E,11141.577,N,4047.973,1064米,1.85公里／小时,航向:344.4,10颗
2017年5月10日,9时38分41秒,E,11141.577,N,4047.974,1064米,1.85公里／小时,航向:343.8,10颗
2017年5月10日,9时38分42秒,E,11141.577,N,4047.974,1064米,1.85公里／小时,航向:346.0,09颗
2017年5月10日,9时38分43秒,E,11141.577,N,4047.975,1064米,1.85公里／小时,航向:348.3,09颗
2017年5月10日,9时38分44秒,E,11141.577,N,4047.975,1064米,0.00公里／小时,航向:356.5,09颗
2017年5月10日,9时38分45秒,E,11141.577,N,4047.975,1064米,0.00公里／小时,航向:356.5,10颗
2017年5月10日,9时38分46秒,E,11141.577,N,4047.975,1063米,0.00公里／小时,航向:356.5,09颗
